FIN-ZMB,9
FRA-BDI,9
FRA-BEL,9
FRA-MDG,9
FRA-PER,9
FRA-UGA,9
GBR-CHE,9
GBR-PRT,9
HUN-USA,9
IRN-JOR,9
IRN-PSE,9
IRQ-PSE,9
IRQ-USA,9
ISR-EUR,9
ISR-SAU,9
ITA-LKA,9
ITA-TUN,9
JPN-ECU,9
JPN-LBN,9
KEN-TZA,9
KHM-AFG,9
KWT-DZA,9
KWT-PGS,9
LBN-IRL,9
LBY-RUS,9
LKA-MDV,9
MCO-USA,9
MLI-FRA,9
MMR-LAO,9
MYS-THA,9
MYS-USA,9
NGA-FRA,9
NGA-SDN,9
NGA-TCD,9
NGA-ZWE,9
NIC-IRN,9
NIC-PAN,9
NLD-CPV,9
NLD-ETH,9
NLD-TZA,9
NLD-ZMB,9
NLD-ZWE,9
NOR-ZMB,9
NZL-PHL,9
PAK-GBR,9
PER-PAN,9
PHL-SEA,9
PRK-RUS,9
PRY-BRA,9
PSE-EGY,9
PSE-FRA,9
PSE-IRN,9
RUS-NOR,9
SAU-ARE,9
SDN-ISR,9
SDN-SAU,9
SOM-AFR,9
SVK-DEU,9
SWE-DEU,9
SWE-DNK,9
SWE-PSE,9
SWE-UGA,9
TCD-COD,9
TZA-CAN,9
UGA-GBR,9
USA-BGD,9
USA-BRB,9
USA-GHA,9
USA-NPL,9
UZB-AFG,9
VNM-CUB,9
WST-GBR,9
YEM-GBR,9
ZWE-TZA,9
AFR-BWA,8
AGO-USA,8
ARE-SDN,8
ARM-USA,8
AUS-FRA,8
AUS-NIC,8
AUS-PAK,8
BLZ-USA,8
BRA-BOL,8
BRA-HUN,8
BRB-AFR,8
CAN-PER,8
CAN-RUS,8
CHE-MOZ,8
CHE-NAM,8
CHN-MOZ,8
CHN-SEA,8
COD-AFR,8
COL-NIC,8
CUB-ESP,8
CYP-EGY,8
CYP-RUS,8
DEU-BEL,8
DEU-LBN,8
DEU-SOM,8
DEU-ZAF,8
DMA-GRD,8
EGY-GBR,8
EGY-MEA,8
ESP-CRI,8
EUR-JPN,8
EUR-KEN,8
EUR-NLD,8
EUR-NPL,8
EUR-VNM,8
FIN-SDN,8
FJI-IRL,8
FRA-IRL,8
FRA-JPN,8
FRA-TUR,8
FRA-VEN,8
GBR-BLZ,8
GBR-CHL,8
GBR-IRQ,8
GBR-NZL,8
GBR-PGS,8
GBR-THA,8
GHA-LBN,8
GIN-AFR,8
GRC-GBR,8
GRD-CUB,8
IDN-AUS,8
IDN-MYS,8
IND-PAK,8
IRN-ARE,8
IRQ-CYP,8
ISR-AUT,8
ISR-VNM,8
ITA-BGR,8
ITA-GHA,8
JPN-MYS,8
