20160818	PAK	PAK	071
20160818	PHL	PHL	073
20160818	PHL	PHL	073
20160818	SAU	QAT	071
20160818	SAU	QAT	071
20160818	SAU	QAT	071
20160818	SSD	COD	073
20160818	SSD	COD	073
20160818	SWE	DNK	071
20160818	USA	SAU	071
20160818	USA	SAU	071
20160818	USA	USA	070
20160818	USA	SAU	071
20160818	USA	SAU	071
20160818	CHN	DZA	070
20160818	CHN	DZA	070
20160818	CHN	USA	071
20160818	EUR	IRQ	072
20160818	EUR	IRQ	072
20160818	EUR	SYR	072
20160818	FRA	FRA	070
20160818	GTM	USA	071
20160818	GTM	USA	071
20160818	ASA	BGD	071
20160818	TMP	IDN	072
20160818	TMP	IDN	072
20160818	USA	RUS	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	DEU	FRA	073
20160818	GBR	GBR	073
20160818	GBR	GBR	071
20160818	GBR	GBR	073
20160818	SDN	COD	073
20160818	SDN	COD	073
20160818	USA	TZA	071
20160818	USA	TZA	071
20160818	USA	USA	070
20160818	USA	USA	070
20160818	ARE	ARE	070
20160818	ARE	ARE	070
20160818	ARE	ARE	070
20160818	ARE	ARE	070
20160818	AUS	FRA	071
20160818	AUS	FRA	071
20160818	AUS	PNG	071
20160818	AUS	AFR	071
20160818	DEU	IRQ	072
20160818	DEU	IRQ	072
20160818	GBR	WST	070
20160818	GBR	WST	070
20160818	GBR	PRT	070
20160818	GBR	PRT	070
20160818	GBR	PRT	070
20160818	GBR	PRT	070
20160818	GBR	UKR	070
20160818	GBR	UKR	070
20160818	GBR	UKR	072
20160818	GBR	UKR	072
20160818	GBR	WST	070
20160818	GBR	UKR	070
20160818	GBR	UKR	072
20160818	IND	THA	070
20160818	IND	THA	070
20160818	ISR	USA	071
20160818	JPN	JPN	070
20160818	PSE	ISR	072
20160818	RUS	SYR	070
20160818	SAU	SAU	070
20160818	SAU	SAU	071
20160818	SAU	SAU	071
20160818	SAU	SAU	071
20160818	SGP	SGP	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	AFR	KEN	071
20160818	BEL	BEL	071
20160818	BEL	BEL	071
20160818	ESP	ESP	071
20160818	GBR	MWI	071
20160818	GBR	MWI	071
20160818	GBR	MWI	071
20160818	GBR	MWI	071
20160818	ISR	SAU	071
20160818	ISR	SAU	071
20160818	GBR	GBR	071
20160818	TUR	KAZ	071
20160818	TUR	KAZ	071
20160818	USA	ITA	075
20160818	USA	TJK	071
20160818	USA	TJK	071
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	TJK	071
20150819	SYR	USA	073
20160818	CAN	CAN	071
20160818	CAN	CAN	071
20160818	CHN	USA	071
20160818	CHN	USA	071
20160818	IND	ZWE	071
20160818	KEN	JPN	070
20160818	KEN	JPN	071
20160818	NGA	NGA	073
20160818	SYR	SYR	073
20160818	SYR	SYR	073
20160818	SYR	SYR	073
20160818	UGA	USA	070
20160818	UGA	USA	070
20160818	UGA	USA	071
20160818	UGA	USA	071
20160818	USA	USA	070
20160818	USA	USA	070
20160811	AFR	SGP	073
20160811	AFR	SGP	073
20160811	SGP	RWA	073
20160818	ARE	PHL	071
20160818	AZE	UKR	070
20160818	AZE	UKR	070
20160818	AZE	USA	070
20160818	CHN	PHL	071
20160818	CHN	PHL	071
20160818	GBR	USA	071
20160818	JPN	LAO	070
20160818	JPN	LAO	070
20160818	NGA	AFR	071
20160818	RUS	SYR	072
20160818	RWA	SGP	073
20160818	SAU	SAU	072
20160818	USA	USA	074
20160818	USA	USA	071
20160818	USA	UKR	070
20160818	USA	UKR	070
20160818	EGY	SYR	073
20160818	GRC	USA	073
20160818	EUR	CAF	072
20160818	IRL	FRA	070
20160818	SEA	MYS	070
20160818	SEA	MYS	071
20160818	USA	IRL	071
20160818	MYS	SEA	070
20160818	USA	COL	070
20160818	USA	USA	071
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	CHE	UKR	071
20160818	DEU	NAM	071
20160818	DEU	USA	071
20160818	IDN	DNK	071
20160818	IDN	DNK	071
20160818	IDN	DNK	071
