20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	073
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	073
20140530	USA	USA	073
20140530	USA	USA	070
20140530	USA	USA	073
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	073
20140530	USA	USA	075
20140530	USA	USA	075
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	SYR	071
20140530	USA	CAN	073
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	073
20140530	USA	USA	071
20140530	USA	USA	073
20140530	USA	AFG	072
20140530	USA	ISR	070
20140530	USA	USA	071
20140530	USA	UKR	072
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	072
20140530	USA	USA	073
20140530	USA	USA	073
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	IDN	071
20140530	USA	MEX	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	UKR	072
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	AFR	071
20140530	USA	COL	070
20140530	USA	COL	070
20140530	USA	DEU	070
20140530	USA	DEU	070
20140530	USA	ISR	070
20140530	USA	ISR	070
20140530	USA	LBN	070
20140530	USA	LBN	070
20140530	USA	MYS	070
20140530	USA	MYS	070
20140530	USA	PAK	070
20140530	USA	PAK	070
20140530	USA	PER	070
20140530	USA	PER	070
20140530	USA	PHL	070
20140530	USA	POL	070
20140530	USA	PRK	070
20140530	USA	PRK	070
20140530	USA	PRT	071
20140530	USA	SWE	070
20140530	USA	SYR	070
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	VEN	070
20140530	USA	VNM	070
20140530	USA	VNM	070
20140530	USA	CAN	072
20140530	USA	CAN	072
20140530	USA	LVA	072
20140530	USA	RUS	075
20140530	USA	RUS	075
20140530	VNM	SEA	073
20140530	ZAF	AFR	070
20140530	ZAF	AFR	070
20140530	ZAF	AFR	071
20140530	ZAF	AFR	071
20140530	ZAF	MOZ	071
20140530	ZAF	ZWE	071
20140530	ZAF	ZAF	073
20140530	ZWE	ZWE	073
20140530	ZWE	ZWE	073
20140530	ZWE	ZWE	070
20140530	ZWE	ZWE	070
