20140325	RUS	UKR	072
20140325	RUS	UKR	072
20140325	RUS	UKR	072
20140325	RUS	UKR	072
20140325	RUS	USA	070
20140325	RUS	USA	070
20140325	RUS	USA	070
20140325	RUS	USA	072
20140325	RUS	USA	073
20140325	RUS	USA	073
20140325	RUS	USA	075
20140325	RUS	USA	075
20140325	RUS	USA	072
20140325	RUS	USA	073
20140325	RUS	RUS	071
20140325	RWA	JPN	075
20140325	RWA	JPN	075
20140325	SAU	MDV	071
20140325	SAU	MDV	071
20140325	SAU	MDV	071
20140325	SAU	PAK	070
20140325	SAU	PAK	070
20140325	SAU	SYR	071
20140325	SAU	SYR	071
20140325	SAU	USA	071
20140325	SAU	USA	071
20140325	SAU	PAK	070
20140325	SAU	PAK	070
20140325	SDN	SSD	071
20140325	SEA	JPN	071
20140325	SEA	JPN	071
20140325	SOM	JPN	070
20140325	SOM	JPN	070
20140325	SSD	AFR	070
20140325	SSD	USA	070
20140325	SWE	SWE	070
20140325	SYR	ARM	072
20140325	SYR	ARM	072
20140325	SYR	ARM	072
20140325	SYR	ARM	073
20140325	SYR	ARM	073
20140325	SYR	ARM	075
20140325	SYR	ARM	075
20140325	SYR	ARM	075
20140325	SYR	ARM	075
20140325	SYR	ARM	075
20140325	SYR	RUS	070
20140325	SYR	SYR	073
20140325	SYR	SYR	073
20140325	SYR	SYR	075
20140325	SYR	TUR	073
20140325	SYR	SYR	073
20140325	SYR	SYR	075
20140325	SYR	SYR	075
20140325	TKM	UZB	070
20140325	TKM	UZB	070
20140325	TTO	ESP	073
20140325	TUR	BGR	070
20140325	TUR	BGR	070
20140325	TUR	ETH	070
20140325	TUR	ETH	070
20140325	TUR	GBR	071
20140325	TUR	SYR	073
20140325	TUR	SYR	073
20140325	TUR	SYR	073
20140325	TUR	SYR	073
20140325	TUR	SYR	073
20140325	TUR	SYR	072
20140325	TUR	TUR	071
20140325	TUR	TUR	071
20140325	TUR	TUR	070
20140325	TUR	TUR	072
20140325	TUR	TUR	071
20140325	TUR	SYR	073
20140325	TUR	SYR	073
20140325	TUR	SYR	073
20140325	TWN	CHN	071
20140325	TWN	CHN	071
20140325	TWN	TWN	071
20140325	TZA	COG	070
20140325	TZA	COG	070
20140325	TZA	SDN	070
20140325	TZA	SDN	070
20140325	UGA	AFR	072
20140325	UGA	USA	072
20140325	UGA	UGA	072
20140325	UKR	CAN	071
20140325	UKR	FRA	070
20140325	UKR	RUS	070
20140325	UKR	RUS	070
20140325	UKR	RUS	070
20140325	UKR	RUS	070
20140325	UKR	RUS	071
20140325	UKR	RUS	071
20140325	UKR	SWE	070
20140325	UKR	UKR	071
20140325	UKR	UKR	071
20140325	UKR	USA	070
20140325	UKR	USA	070
20140325	UKR	USA	070
20140325	UKR	USA	070
20140325	UKR	USA	070
20140325	UKR	ALB	070
20140325	UKR	ALB	070
20140325	UKR	UKR	070
20140325	UKR	UKR	072
20140325	UKR	UKR	072
20140325	USA	AFG	073
20140325	USA	AFG	074
20140325	USA	AFR	071
20140325	USA	AFR	073
20140325	USA	AFR	073
20140325	USA	AFR	073
20140325	USA	AFR	073
20140325	USA	AUS	071
20140325	USA	AUS	071
20140325	USA	CUB	070
20140325	USA	DEU	070
20140325	USA	DEU	073
20140325	USA	DEU	075
20140325	USA	DEU	071
20140325	USA	DEU	071
20140325	USA	EGY	073
20140325	USA	ESP	073
20140325	USA	ESP	073
20140325	USA	EUR	072
20140325	USA	EUR	072
20140325	USA	FRA	073
20140325	USA	FRA	073
20140325	USA	GRC	075
20140325	USA	GRC	075
20140325	USA	IND	071
20140325	USA	IND	071
20140325	USA	IND	073
20140325	USA	IND	073
20140325	USA	IND	073
20140325	USA	ISR	075
20140325	USA	ISR	075
20140325	USA	ISR	075
20140325	USA	KWT	073
20140325	USA	KWT	073
20140325	USA	KWT	073
20140325	USA	LBY	070
20140325	USA	LBY	070
20140325	USA	LBY	070
20140325	USA	MAR	070
20140325	USA	MDA	072
20140325	USA	MDA	072
20140325	USA	MDV	073
20140325	USA	MEX	075
20140325	USA	MEX	075
20140325	USA	MEX	075
20140325	USA	MMR	071
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	MYS	070
20140325	USA	NZL	071
20140325	USA	NZL	071
20140325	USA	PER	071
20140325	USA	PHL	070
20140325	USA	PSE	075
20140325	USA	RUS	070
20140325	USA	RUS	070
20140325	USA	RUS	070
20140325	USA	RUS	070
20140325	USA	RUS	070
20140325	USA	RUS	072
20140325	USA	SAU	071
20140325	USA	SDN	070
20140325	USA	SDN	070
20140325	USA	SDN	070
20140325	USA	SDN	070
20140325	USA	SSD	070
20140325	USA	SSD	070
20140325	USA	SSD	070
20140325	USA	SSD	070
20140325	USA	SSD	070
20140325	USA	SSD	070
20140325	USA	SSD	070
20140325	USA	SSD	071
20140325	USA	SSD	071
20140325	USA	SSD	071
20140325	USA	SSD	071
20140325	USA	SSD	071
20140325	USA	SSD	071
20140325	USA	SYR	071
20140325	USA	UGA	071
20140325	USA	UGA	071
20140325	USA	UGA	071
20140325	USA	UGA	071
20140325	USA	UGA	072
20140325	USA	UGA	072
20140325	USA	UKR	070
20140325	USA	UKR	070
20140325	USA	UKR	070
20140325	USA	UKR	071
20140325	USA	UKR	071
20140325	USA	UKR	071
20140325	USA	UKR	072
20140325	USA	UKR	072
20140325	USA	UKR	072
20140325	USA	UKR	072
20140325	USA	UKR	070
20140325	USA	UKR	071
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	073
20140325	USA	USA	073
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	072
20140325	USA	USA	072
20140325	USA	USA	073
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	073
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	072
20140325	USA	USA	072
20140325	USA	USA	073
20140325	USA	USA	071
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	072
20140325	USA	VNM	071
20140325	USA	VNM	071
20140325	USA	VNM	071
20140325	USA	VNM	071
20140325	USA	HTI	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	073
20140325	USA	USA	071
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	073
20140325	USA	GBR	072
20140325	USA	NLD	073
20140325	USA	NLD	073
20140325	USA	NLD	073
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	VEN	073
20140325	USA	AFG	070
20140325	USA	AFG	071
20140325	USA	COD	071
20140325	USA	COD	071
20140325	USA	COD	071
20140325	USA	EUR	071
20140325	USA	AFR	072
20140325	USA	AFR	072
20140325	USA	AFR	072
20140325	USA	ISR	071
20140325	USA	LBY	072
20140325	USA	PHL	071
20140325	USA	RUS	071
20140325	USA	UGA	072
20140325	USA	UKR	071
20140325	USA	UKR	071
20140325	USA	UKR	072
20140325	USA	UKR	073
20140325	USA	UKR	073
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	072
20140325	USA	USA	072
20140325	USA	USA	072
20140325	USA	USA	072
20140325	USA	USA	073
20140325	USA	USA	071
20140325	USA	UKR	071
20140325	USA	UKR	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	EUR	071
20140325	USA	UKR	071
20140325	USA	USA	070
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	USA	071
20140325	USA	ARE	070
20140325	USA	ARE	070
20140325	USA	AUS	070
20140325	USA	AUS	071
20140325	USA	CHL	070
20140325	USA	CHL	070
20140325	USA	CHN	070
20140325	USA	CHN	070
20140325	USA	DEU	071
20140325	USA	DEU	071
20140325	USA	DEU	071
20140325	USA	DEU	071
20140325	USA	GTM	070
20140325	USA	IRQ	070
20140325	USA	IRQ	071
20140325	USA	IRQ	070
20140325	USA	ISR	070
20140325	USA	ISR	070
20140325	USA	ISR	070
20140325	USA	ITA	070
20140325	USA	JPN	070
20140325	USA	LBN	070
20140325	USA	LBN	070
20140325	USA	LBN	070
20140325	USA	LBR	070
20140325	USA	LBR	070
20140325	USA	LBY	070
20140325	USA	LBY	070
20140325	USA	LKA	070
20140325	USA	MAR	070
20140325	USA	NLD	070
20140325	USA	NZL	070
20140325	USA	NZL	070
20140325	USA	NZL	070
20140325	USA	PAK	070
20140325	USA	SEN	070
20140325	USA	SEN	070
20140325	USA	SEN	070
20140325	USA	SEN	070
20140325	USA	SYR	070
20140325	USA	SYR	070
20140325	USA	SYR	070
20140325	USA	SYR	070
20140325	USA	TUR	070
20140325	USA	TUR	070
20140325	USA	TWN	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
20140325	USA	USA	070
