20150130	USA	LBN	070
20150130	USA	LBN	070
20150130	USA	LBN	070
20150130	USA	LBN	073
20150130	USA	MCO	071
20150130	USA	MCO	071
20150130	USA	MEX	071
20150130	USA	MEX	071
20150130	USA	MEX	073
20150130	USA	MEX	073
20150130	USA	MEX	073
20150130	USA	JPN	073
20150130	USA	JPN	073
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	NLD	070
20150130	USA	NLD	070
20150130	USA	NLD	070
20150130	USA	NOR	070
20150130	USA	NOR	070
20150130	USA	PSE	071
20150130	USA	PSE	071
20150130	USA	PSE	071
20150130	USA	QAT	071
20150130	USA	QAT	071
20150130	USA	RUS	070
20150130	USA	SAU	071
20150130	USA	SRB	075
20150130	USA	SLE	072
20150130	USA	SOM	070
20150130	USA	SOM	070
20150130	USA	TWN	070
20150130	USA	TWN	070
20150130	USA	UGA	070
20150130	USA	UGA	070
20150130	USA	UGA	070
20150130	USA	UGA	072
20150130	USA	UGA	072
20150130	USA	UGA	072
20150130	USA	UKR	072
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	071
20150130	USA	USA	073
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	071
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	075
20150130	USA	USA	075
20150130	USA	USA	075
20150130	USA	USA	070
20150130	USA	USA	072
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	073
20150130	USA	USA	070
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	071
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
20150130	USA	USA	070
