20130723	VEN	USA	075
20130723	VEN	USA	071
20130723	VEN	USA	071
20130723	VEN	USA	075
20130723	VNM	AUS	073
20130723	YEM	DJI	070
20130723	YEM	SOM	075
20130723	YEM	SOM	075
20130723	YEM	YEM	071
20130723	YEM	YEM	073
20130723	ZAF	AFR	070
20130723	ZAF	AFR	070
20130723	ZAF	AFR	071
20130723	ZAF	ZAF	071
20130723	ZAF	ZAF	071
20130723	ZMB	MDV	070
20130723	ZMB	ZMB	070
20130723	ZWE	AFR	071
20130723	ZWE	ZWE	071
