20141223	USA	AUS	071
20141223	USA	AUS	071
20141223	USA	CAN	073
20141223	USA	CAN	073
20141223	USA	CHN	070
20141223	USA	CHN	070
20141223	USA	CHN	071
20141223	USA	COD	073
20141223	USA	COD	073
20141223	USA	CUB	070
20141223	USA	CUB	070
20141223	USA	CUB	070
20141223	USA	CUB	070
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	CUB	075
20141223	USA	EGY	071
20141223	USA	EGY	071
20141223	USA	EGY	071
20141223	USA	ESP	070
20141223	USA	EUR	071
20141223	USA	EUR	071
20141223	USA	EUR	071
20141223	USA	EUR	073
20141223	USA	FRA	070
20141223	USA	GBR	070
20141223	USA	GBR	071
20141223	USA	GBR	071
20141223	USA	GHA	070
20141223	USA	GTM	071
20141223	USA	HND	073
20141223	USA	HND	073
20141223	USA	HND	073
20141223	USA	HND	073
20141223	USA	HND	073
20141223	USA	EUR	072
20141223	USA	IRN	071
20141223	USA	IRQ	072
20141223	USA	IRQ	072
20141223	USA	IRQ	072
20141223	USA	IRQ	072
20141223	USA	IRQ	072
20141223	USA	IRQ	072
20141223	USA	ISR	070
20141223	USA	ISR	070
20141223	USA	ISR	070
20141223	USA	ISR	070
20141223	USA	ISR	071
20141223	USA	ISR	071
20141223	USA	ITA	070
20141223	USA	ITA	071
20141223	USA	ITA	071
20141223	USA	JPN	070
20141223	USA	JPN	070
20141223	USA	LBR	073
20141223	USA	LBR	073
20141223	USA	LBY	070
20141223	USA	LBY	070
20141223	USA	LBY	072
20141223	USA	LBY	072
20141223	USA	MEX	070
20141223	USA	USA	070
20141223	USA	NGA	072
20141223	USA	NLD	070
20141223	USA	NLD	070
20141223	USA	NLD	070
20141223	USA	NLD	070
20141223	USA	QAT	070
20141223	USA	QAT	070
20141223	USA	SDN	073
20141223	USA	SDN	073
20141223	USA	SOM	071
20141223	USA	TCD	071
20141223	USA	THA	072
20141223	USA	THA	072
20141223	USA	TUR	070
20141223	USA	TUR	072
20141223	USA	TUR	072
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	072
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	071
20141223	USA	USA	073
20141223	USA	USA	073
20141223	USA	USA	070
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	071
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	070
20141223	USA	USA	071
20141223	USA	USA	071
