19790404	RUS	AGO	072
19790404	VNM	CHN	071
19790404	VNM	CHN	071
19790405	CHN	CAF	071
19790405	KHM	VNM	070
19790405	KWT	SYR	071
19790405	KWT	SYR	071
19790406	AUS	LBY	072
19790406	AUS	LBY	072
19790406	AUS	LBY	072
19790406	FRA	IRN	073
19790406	WST	EUR	070
19790406	THA	KHM	073
19790406	THA	KHM	073
19790406	TZA	LBY	072
19790406	VNM	KHM	072
19790406	WST	EUR	070
19790407	CHN	VNM	073
19790407	CHN	VNM	073
19790407	FRA	CMR	070
19790407	LBY	UGA	070
19790407	LBY	UGA	072
19790407	LBY	UGA	072
19790407	LBY	UGA	072
19790407	SAU	CHN	073
19790407	SAU	CHN	073
19790407	THA	KHM	073
19790407	TZA	LBY	070
19790407	TZA	LBY	070
19790407	TZA	UGA	071
19790407	TZA	UGA	071
19790407	TZA	UGA	072
19790407	TZA	UGA	072
19790407	TZA	UGA	071
19790407	FRA	CMR	070
19790407	FRA	CMR	070
19790408	EGY	MEA	071
19790408	EGY	MEA	071
19790408	KEN	UGA	073
19790408	KEN	UGA	073
19790408	VNM	KHM	072
19790408	ZWE	USA	073
19790409	MAR	UGA	071
19790409	PAK	AFG	075
19790409	PAK	AFG	075
19790409	TUR	RUS	070
19790410	AUS	SEA	070
19790410	CZE	EUR	070
19790410	EUR	TUR	071
19790410	WST	EUR	070
19790410	RUS	IRN	072
19790410	RUS	IRN	072
19790410	USA	EGY	070
19790410	EUR	TUR	071
19790411	AFR	AFR	072
19790411	AFR	AFR	072
19790411	AFR	AFR	072
19790411	FRA	FRA	070
19790411	THA	VNM	075
19790411	USA	ISR	072
19790411	RUS	ISR	072
19790411	USA	ISR	072
19790412	FRA	LKA	070
19790412	THA	KHM	073
19790412	FRA	LKA	070
19790412	FRA	LKA	070
19790412	THA	KHM	073
19790412	THA	KHM	073
19790413	POL	POL	070
19790416	COL	USA	070
19790416	COL	USA	070
19790416	EGY	IRN	071
19790416	EGY	IRN	071
19790416	JPN	CHN	070
19790416	KHM	KHM	073
19790416	RUS	CHN	072
19790416	RUS	CHN	072
19790416	RUS	VNM	071
19790416	USA	COL	070
19790416	USA	COL	070
19790416	VNM	RUS	072
19790417	BRB	VCT	073
19790417	CHN	YEM	073
19790417	CHN	YEM	073
19790417	CHN	CHN	073
19790417	CHN	CHN	073
19790417	CHN	YEM	073
19790417	CHN	YEM	073
19790417	RUS	VNM	071
19790417	RUS	RUS	070
19790417	USA	USA	070
19790417	YEM	CHN	073
19790417	YEM	CHN	073
19790417	BRB	VCT	073
19790418	TUN	EGY	071
19790419	CIV	TGO	072
19790419	EGY	USA	072
19790419	JPN	PRK	071
19790419	KEN	KEN	073
19790419	KEN	KEN	073
19790419	KEN	UGA	073
19790419	KEN	UGA	073
19790419	KEN	UGA	073
19790419	KEN	UGA	073
19790419	KEN	UGA	073
19790419	KEN	UGA	073
19790419	KOR	PRK	071
19790419	KOR	PRK	071
19790419	USA	EGY	071
19790419	USA	EGY	071
19790419	CIV	TGO	072
19790419	CIV	TGO	072
19790420	ISR	UGA	073
19790420	ISR	UGA	073
19790420	RUS	VNM	071
19790420	RUS	VNM	071
19790420	USA	DEU	071
19790421	AFG	RUS	072
19790421	CHN	JPN	070
19790421	CHN	JPN	070
19790421	JPN	THA	071
19790421	POL	RUS	070
19790421	POL	RUS	070
19790421	RUS	IRN	070
19790421	RUS	USA	070
19790421	RUS	USA	070
19790421	THA	KHM	073
19790421	THA	KHM	073
19790421	JPN	THA	071
19790422	BEL	SDN	070
19790422	ITA	CHN	071
19790422	ITA	CHN	071
19790422	ITA	CHN	071
19790422	JOR	JOR	073
19790422	RUS	AFG	072
19790422	THA	KHM	073
