20160306	TUR	WST	070
20160306	USA	CHN	070
20160306	USA	USA	070
20160306	USA	IRN	071
20160306	USA	IRN	071
20160306	USA	LBN	070
20160306	JOR	ISR	070
20160306	JOR	ISR	070
20160306	POL	UKR	071
20160306	PSE	ISR	070
20160306	PSE	ISR	070
20160306	SAU	SYR	072
20160306	SYR	ISR	070
20160306	SYR	ISR	070
20160306	TUR	AFG	070
20160306	USA	SOM	070
20160306	USA	SOM	070
20160306	CAN	SYR	070
20160306	CAN	SYR	070
20160306	GBR	CAN	072
20160306	GRC	EUR	070
20160306	GRC	EUR	073
20160306	IRN	USA	071
20160306	ITA	LBY	072
20160306	ITA	LBY	072
20160306	JOR	JOR	070
20160306	USA	IRN	071
20160306	USA	CUB	070
20160306	USA	CUB	070
20160306	AUS	CHN	071
20160306	AUS	CHN	071
20160306	AUS	CHN	071
20160306	EUR	TUR	073
20160306	EUR	TUR	073
20160306	EUR	EUR	071
20160306	EUR	EUR	071
20160306	MYS	CHN	071
20160306	MYS	CHN	071
20160306	MYS	CHN	071
20160306	NZL	NZL	070
20160306	AUS	AUS	070
20160306	ITA	LBY	072
20160306	CAN	SYR	070
20160306	CAN	SYR	070
20160306	CAN	USA	071
20160306	RUS	EUR	071
20160306	SAU	TUR	071
20160306	USA	CAN	071
20160306	USA	CAN	071
20160306	USA	USA	071
20160306	BGD	NPL	070
20160306	CAN	CAN	071
20160306	EUR	EUR	071
20160306	IRN	TUR	070
20160306	MEX	CUB	075
20160306	PSE	ISR	071
20160306	PSE	ISR	071
20160306	TUR	AFG	070
20160306	TUR	AFG	070
20160306	USA	FRA	071
20160306	USA	USA	073
20160306	USA	EGY	070
20160306	EUR	GRC	071
20160306	IRN	TUR	070
20160306	USA	USA	071
20160306	AFG	AFG	072
20160306	AFR	USA	071
20160306	AUS	NZL	070
20160306	AUS	NZL	070
20160306	ITA	USA	071
20160306	PSE	ISR	072
20160306	SOM	SOM	070
20160306	USA	IRQ	072
20160306	USA	IRQ	072
20160306	USA	IRQ	072
20160306	USA	IRQ	072
20160306	USA	ISR	070
20160306	USA	ISR	070
20160306	USA	USA	071
20160306	USA	VNM	071
20160306	USA	VNM	071
20160306	USA	AFG	072
20160306	USA	PAK	072
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	072
20160306	USA	USA	070
20160306	AUS	USA	071
20160306	DEU	DEU	070
20160306	DEU	DEU	070
20160306	DEU	DEU	070
20160306	GRC	EUR	073
20160306	IRN	TUR	070
20160306	LKA	LKA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	ZMB	ZMB	070
20150307	USA	USA	071
20160306	AUS	USA	071
20160306	EUR	GRC	075
20160306	EUR	GRC	075
20160306	EUR	GRC	075
20160306	SAU	DEU	073
20160306	SAU	DEU	073
20160306	TON	TON	073
20160306	USA	RUS	071
20160306	USA	RUS	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	ZMB	MWI	071
20160306	ZMB	MWI	071
20160306	ZMB	MWI	071
20160306	ZMB	MWI	071
20160306	ZMB	MWI	071
20160306	CHN	FJI	070
20160306	IRN	TUR	070
20160306	IRN	TUR	070
20160306	IRN	TUR	070
20160306	PAK	PAK	075
20160306	PAK	PAK	075
20160306	TUR	TUR	072
20160306	USA	EGY	072
20160306	USA	EGY	072
20160306	USA	EGY	072
20160306	USA	EGY	072
20160306	USA	HND	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	AUS	AUS	070
20160306	AUS	AUS	070
20160306	AUS	NZL	070
20160306	AUS	NZL	070
20160306	MYS	MYS	071
20160306	NLD	GRC	070
20160306	NLD	GRC	070
20160306	RUS	EUR	071
20160306	TUR	TUR	070
20160306	USA	USA	071
20160306	USA	USA	071
20160306	ITA	LBY	072
20160306	MYS	MYS	071
20160306	MYS	MYS	070
20160306	MYS	MYS	073
20160306	MYS	MYS	073
20160306	SYR	CAN	073
20160306	THA	THA	075
20160306	USA	RUS	071
