20150511	USA	USA	071
20150511	USA	USA	073
20150511	ZAF	BDI	070
20150511	ZAF	BDI	070
20150511	CAN	CAN	071
20150511	ECU	SWE	075
20150511	ECU	SWE	075
20150511	ETH	LBY	073
20150511	GRC	MCO	072
20150511	GRC	USA	072
20150511	JPN	MEX	071
20150511	SAU	BHR	072
20150511	SAU	BHR	072
20150511	USA	GBR	071
20150511	USA	GBR	071
20150511	USA	MCO	072
20150511	USA	MCO	072
20150511	USA	USA	070
20150511	USA	USA	071
20150511	USA	USA	071
20150511	USA	USA	073
20150511	USA	USA	073
20150511	AUS	NZL	071
20150511	AUS	NZL	071
20150511	BEL	NLD	071
20150511	CAN	CAN	071
20150511	WST	AFG	072
20150511	WST	AFG	072
20150511	WST	AFG	072
20150511	WST	AFG	072
20150511	ISR	PSE	070
20150511	ISR	PSE	070
20150511	ISR	PSE	070
20150511	PAK	USA	070
20150511	USA	USA	070
20150511	USA	USA	075
20150511	ARM	EUR	071
20150511	AUS	AUS	071
20150511	CAN	UKR	070
20150511	CAN	UKR	071
20150511	CAN	UKR	070
20150511	CAN	UKR	070
20150511	CAN	UKR	071
20150511	ECU	AUS	075
20150511	NPL	SGP	070
20150511	PHL	PHL	071
20150511	PHL	PHL	071
20150511	PHL	PHL	071
20150511	PHL	PHL	071
20150511	RUS	RUS	070
20150511	SDN	EUR	071
20150511	SGP	SGP	070
20150511	USA	AFG	071
20150411	TUR	TUR	072
20150511	AFR	ZAF	070
20150511	AUS	GBR	071
20150511	AUS	GBR	071
20150511	AUS	JPN	071
20150511	AUS	JPN	071
20150511	AUS	KOR	071
20150511	AUS	KOR	071
20150511	GBR	KOR	071
20150511	IRN	USA	071
20150511	IRQ	IRN	071
20150511	IRQ	IRN	071
20150511	IRQ	IRN	071
20150511	ISR	PSE	070
20150511	PHL	IDN	071
20150511	SGP	SGP	073
20150511	USA	RUS	071
20150504	BGD	NPL	071
20150504	BGD	NPL	071
20150511	CAN	SAU	075
20150511	CAN	SAU	075
20150511	CHN	MWI	073
20150511	DEU	DEU	071
20150511	DEU	ISR	071
20150511	DEU	ISR	071
20150511	DZA	LBY	073
20150511	EUR	LTU	071
20150511	EUR	GRC	071
20150511	GBR	CAN	071
20150511	JPN	NPL	073
20150511	MDA	USA	073
20150511	USA	GBR	071
20150511	MYS	BGD	073
20150511	SGP	SGP	073
20150511	SYR	SYR	073
20150511	SYR	SYR	073
20150511	USA	USA	071
20150511	USA	NGA	070
20150511	ZAF	AFR	071
20140511	CAN	ISR	070
20140511	CAN	ISR	070
20150511	AFR	USA	070
20150511	AFR	USA	071
20150511	ARG	COL	071
20150511	BEL	CHE	071
20150511	BEL	CHE	071
20150511	BEL	CHE	071
20150511	BEL	CHE	071
20150511	BEL	CHE	071
20150511	CAN	CAN	070
20150511	ESP	COL	071
